Big Market (top 10 US rank),Medium Market (11-30 US rank),Small Market (31+ US rank)
Jets,Lions,Chiefs
Giants,Cardinals,Bengals
Bears,Buccaneers,Jaguars
Eagles,Seahawks,Bills
Cowboys,Vikings,Saints
49ers,Dolphins,Packers
Raiders,Browns,
Patriots,Broncos,
Falcons,Rams,
Redskins,Steelers,
Texans,Panthers,
,Colts,
,Ravens,
,Chargers,
,Titans,
