"Rank","Player","Pos","Team","PUNTS","YD","YD/PUNT","INSIDE 20",""
"","Mitch Wishnowsky","P","SF","52","2,333","44.9","23",""
"","Dustin Colquitt","P","KC","48","2,126","44.3","21",""
