"Rank","Player","Pos","Team","GP","FGA","FGM","FG 0-19","FG 20-29","FG 30-39","FG 40-49","FG 50+","EPA","EPM",""
"","Harrison Butker","K","KC","16","38","34","0","9","9","13","3","48","45",""
"","Robbie Gould","K","SF","13","31","23","0","9","8","6","0","42","41",""
